Date/Time,avg_3phase_voltage,avg_current,average_dc_power,average_dc_voltage,none,average_device_temperature,kilowatt-hours,watts,hertz,kilowatt-hours,watts,volts,volts,volts,volts
2025-01-14 14:35,80.219909667969,58334.671875,414.008748372396,578.47742207845,0,60.34095509847,4,57217.57421875,49.966331481934,4,57217.57421875,414.008748372396,413.273406982422,415.245391845703,413.507446289062
2025-01-14 14:40,79.260681152344,57628.1015625,413.975321451823,574.90613301595,0,60.181359608968,5.023999999976,56509.5625,49.97114944458,5.023999999976,56509.5625,413.975321451823,413.190521240234,415.085845947266,413.649597167969
2025-01-14 14:45,76.328689575195,55407.78515625,413.199534098307,576.571258544922,0,59.786762237549,4.991999999969,54299.17578125,50.007427215576,4.991999999969,54299.17578125,413.199534098307,411.41943359375,414.817260742188,413.361907958984
2025-01-14 14:50,74.591415405273,54344.0751953125,414.547098795573,575.002675374349,0,59.557955423991,4,53266.66015625,49.950576782227,4,53266.66015625,414.547098795573,413.652770996094,415.595703125,414.392822265625
2025-01-14 14:55,76.515838623047,55978.0732421875,416.217651367188,573.046630859375,0,59.521171569824,4.992000000027,54868.6328125,49.982341766357,4.992000000027,54868.6328125,416.217651367188,416.195922851562,415.825592041016,416.631439208984
2025-01-14 15:00,75.07462310791,55014.3876953125,417.267557779948,569.746866861979,0,59.396158854167,4,53934.265625,50.028915405273,4,53934.265625,417.267557779948,416.286102294922,417.707946777344,417.808624267578
2025-01-14 15:05,73.631378173828,53810.6596679688,415.918802897135,574.123469034831,0,58.877991994222,4.992000000027,52756.4296875,50.088245391846,4.992000000027,52756.4296875,415.918802897135,415.430450439453,415.58251953125,416.743438720703
2025-01-14 15:10,68.11003112793,49455.7834472656,413.142313639323,574.004730224609,0,58.169884999593,4,48513.4765625,49.973213195801,4,48513.4765625,413.142313639323,413.856018066406,412.351257324219,413.219665527344
2025-01-14 15:15,67.855804443359,49279.6291503906,413.633524576823,590.428654988607,0,57.963297526042,4,48354.83984375,49.998100280762,4,48354.83984375,413.633524576823,413.418518066406,413.285217285156,414.196838378906
2025-01-14 15:20,62.335838317871,45033.1728515625,412.092193603516,597.052388509114,0,56.785661061605,3.007999999973,44226.67578125,49.96085357666,3.007999999973,44226.67578125,412.092193603516,410.086151123047,412.969512939453,413.220916748047
